Ithree,vthree
-7.86,12856.8
-7.67,12805.3
-7.44,12786.3
-7.14,12840.4
-6.91,12827.2
-6.6,12827.1
-6.42,12806.
-5.7,12863.3
-5.18,12815.7
-4.79,12784.7
-4.36,12804.1
-3.76,12848.3
-3.24,12939.2
-2.39,12863.8
-1.69,12850.7
-1.3,12849.7
6.19,13364.8
6.06,12976.8
5.84,12880.
5.64,12975.1
5.36,12929.2
5.14,12868.1
4.96,12814.3
4.39,12788.4
4.,12606.6
3.75,12555.
3.38,12230.3
2.91,11401.7
2.53,10551.5
1.86,11874.8
1.34,12638.6
1.07,12749.1
