Ione,Eone
0.5,1656
1.,480
1.5,366
2.,631
2.5,1114
3.,1473
3.5,1671
4.,1873
4.5,2251
5.,3081
5.5,3979
6.,4853
6.5,4979
7.,4366
7.5,3243
8.,1896
8.5,985
9.,462
9.5,236
